Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,c1,c2,Neighbourhood size,Inertia,alpha,Maximum Velocity
True,[ 0.0440227 ],2.03792e-08,16,500,0.001852,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.053298 ],1.3874e-08,16,500,0.0032229,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0583228 ],3.32919e-08,16,500,0.0025395,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0609672 ],9.34425e-09,16,500,0.0035781,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0644898 ],4.24722e-08,16,500,0.003823,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.067405 ],2.44817e-08,16,500,0.0044088,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0671437 ],5.84739e-08,16,500,0.0135633,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0262752 ],3.86415e-11,16,500,0.0021432,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0440222 ],1.82789e-09,16,500,0.0015747,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0532987 ],9.20066e-09,16,500,0.0023734,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0583219 ],1.70114e-08,16,500,0.0021226,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
