Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,Crossover Rate,Mutation Scale Factor
False,[ -0.287971 2.84005 3.89251 -0.545093 -0.021906 4.81775 ],-nan(ind),60,1000,5.89894,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.822626 2.43572 3.95699 0.0460096 -0.124608 5.79775 ],-nan(ind),60,1000,5.8644,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 4.28685e-09 -0.892278 1.63469 -0.0600098 0.0750532 5.5 ],0.385553,60,1000,4.90891,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 5.25039e-09 -8.70985 9.52453 -0.0603332 0.0687171 5.49999 ],0.385334,60,1000,2.86518,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 2.10708e-07 120.253 -122.314 -0.640257 0.0296387 1153.03 ],0.36164,60,1000,3.59425,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.00651353 394.719 -395.067 -0.571611 0.375689 678.256 ],0.348284,60,1000,2.68189,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 1.77128e-07 23.3925 0.993575 -0.0602777 0.00228884 5.49997 ],0.385334,60,1000,4.57236,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 1.33655e-07 21.3851 -20.1685 -0.0602095 0.045888 5.49919 ],0.38534,60,1000,3.47918,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 2.88327e-08 18.1381 -6.95817 -0.0602966 0.00499019 5.49999 ],0.385334,60,1000,4.87036,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 2.88768e-08 21.2399 -6.5625 -0.0603254 0.00381773 5.49996 ],0.385334,60,1000,4.85644,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
